code_agb,code_ciqual,food_group,food_subgroup,name_french,name_lci,dqr,name_and_code,ef_score_agri,ef_score_processing,ef_score_packing,ef_score_transport,ef_score_distri,ef_score_consumption,ef_score_total,clim_change_agri,clim_change_processing,clim_change_packing,clim_change_transport,clim_change_distri,clim_change_consumption,clim_change_total,ozone_depl_agri,ozone_depl_processing,ozone_depl_packing,ozone_depl_transport,ozone_depl_distri,ozone_depl_consumption,ozone_depl_total,ion_rad_agri,ion_rad_processing,ion_rad_packing,ion_rad_transport,ion_rad_distri,ion_rad_consumption,ion_rad_total,photo_ozone_agri,photo_ozone_processing,photo_ozone_packing,photo_ozone_transport,photo_ozone_distri,photo_ozone_consumption,photo_ozone_total,fine_particles_agri,fine_particles_processing,fine_particles_packing,fine_particles_transport,fine_particles_distri,fine_particles_consumption,fine_particles_total,toxix_noncarc_agri,toxix_noncarc_processing,toxix_noncarc_packing,toxix_noncarc_transport,toxix_noncarc_distri,toxix_noncarc_consumption,toxix_noncarc_total,toxic_carc_agri,toxic_carc_processing,toxic_carc_packing,toxic_carc_transport,toxic_carc_distri,toxic_carc_consumption,toxic_carc_total,acid_land_water_agri,acid_land_water_processing,acid_land_water_packing,acid_land_water_transport,acid_land_water_distri,acid_land_water_consumption,acid_land_water_total,eutro_freshwater_agri,eutro_freshwater_processing,eutro_freshwater_packing,eutro_freshwater_transport,eutro_freshwater_distri,eutro_freshwater_consumption,eutro_freshwater_total,eutro_marine_agri,eutro_marine_processing,eutro_marine_packing,eutro_marine_transport,eutro_marine_distri,eutro_marine_consumption,eutro_marine_total,eutro_land_agri,eutro_land_processing,eutro_land_packing,eutro_land_transport,eutro_land_distri,eutro_land_consumption,eutro_land_total,ecotoxicity_fresh_agri,ecotoxicity_fresh_processing,ecotoxicity_fresh_packing,ecotoxicity_fresh_transport,ecotoxicity_fresh_distri,ecotoxicity_fresh_consumption,ecotoxicity_fresh_total,land_use_agri,land_use_processing,land_use_packing,land_use_transport,land_use_distri,land_use_consumption,land_use_total,depl_water_agri,depl_water_processing,depl_water_packing,depl_water_transport,depl_water_distri,depl_water_consumption,depl_water_total,depl_energy_agri,depl_energy_processing,depl_energy_packing,depl_energy_transport,depl_energy_distri,depl_energy_consumption,depl_energy_total,depl_mineral_agri,depl_mineral_processing,depl_mineral_packing,depl_mineral_transport,depl_mineral_distri,depl_mineral_consumption,depl_mineral_total,dqr_overall,dqr_p,dqr_tir,dqr_gr,dqr_ter,alim_grp_code,alim_ssgrp_code,alim_ssssgrp_code,alim_grp_nom_eng,alim_ssgrp_nom_eng,alim_ssssgrp_nom_eng,alim_code,alim_nom_eng,energy_kj,energy_kcal,protein,carbohydrate,fat,sugars,starch,fibres,cholesterol,salt,calcium,sodium,zinc,vitamin_d,magnesium,potassium,iron,animal,name,clim_change_car_kms,depl_water_people,depl_energy_parisians,depl_energy_eiffel_hours,depl_energy_eiffel_mins
12112,12112,lait et produits laitiers,fromages,abondance,"abondance cheese, from cow's milk",2.24,abondance (12112),0.46489872,0.043421334,0.021566061,0.016456344,0.0089059516,0.002442269,0.5576906796,5.0527045,0.40542878,0.26233269,0.21100323,0.035969873,0.0066736979,5.974112770900001,1.0601353e-07,6.7848093e-08,6.2748189e-09,5.1072373e-08,2.5544527e-09,7.1115194e-10,2.3447441954000002e-07,0.17703349,0.26644054,0.02634091,0.013449375,0.14616274,0.04227436,0.6717014149999999,0.008010324,0.0010496856,0.0007144084,0.00070619892,6.8118688e-05,1.9222376e-05,0.0105679579839999,3.864052e-07,3.9504507e-08,6.899141e-09,1.3341413e-08,1.4339341e-09,4.0999127e-10,4.479941863700001e-07,6.5962115e-08,2.0234302e-09,7.8095988e-10,1.4818494e-09,3.7951591e-10,1.0814384e-10,7.073601423e-08,2.7910607e-09,1.8277919e-10,6.4590492e-11,8.1167394e-11,2.4142758e-11,6.823398e-12,3.1505639319999997e-09,0.057655745,0.0017384347,0.00082463665,0.00075391684,0.00014222058,4.0490366e-05,0.061155444136,0.00054500039,3.6055083e-05,6.5377476e-05,1.5645112e-05,8.1106689e-06,2.2997207e-06,0.0006724884506,0.018643716,0.00038043396,0.000178192,0.00021203289,3.1227072e-05,8.8895404e-06,0.0194544914624,0.25139061,0.0039003596,0.001690741,0.0022991368,0.00024555188,6.928173e-05,0.2595956810099999,56.850354,1.07400512,0.4869901799999999,0.97201334,0.096055436,0.025427296,59.504845372,302.50335,3.6528738,1.0538655,1.5405031,0.14329515,0.041106795,308.934994345,1.633209,0.21277253,0.20835398,0.0095125737,0.019722873,0.0030656073,2.086636564,10.424359,10.423595,4.9083197,2.8255506,3.2122466,0.92525579,32.71932669,1.0575039e-05,1.3344875e-06,9.1564395e-07,9.4630538e-07,9.1196772e-07,2.6338579e-07,1.494682934e-05,2.24,2.84,2.05,1.18,2.87,5,503,50303,milk and milk products,cheese and similar,semihard cheeses,12112,"abondance cheese, from cow's milk",1630.0,393.0,27.1,0.0,31.6,0.2,0.0,0.0,106.0,1.73,760.0,690.0,3.5,0.25,28.0,120.0,0.09,cow,abondance,34.93633199356725,13.910910426666668,0.6143289219058642,0.07573918215277778,4.544350929166667
,12761,lait et produits laitiers,fromages,asiago,"asiago cheese, from cow's milk",2.24,asiago (12761),0.45646513,0.044435061,0.021566061,0.016456344,0.0089059516,0.002442269,0.5502708165999999,4.9610449,0.41489404,0.26233269,0.21100323,0.035969873,0.0066736979,5.891918430900001,1.0409037e-07,6.9432095e-08,6.2748189e-09,5.1072373e-08,2.5544527e-09,7.1115194e-10,2.3413526154000001e-07,0.17382197,0.27266094,0.02634091,0.013449375,0.14616274,0.04227436,0.6747102949999999,0.0078650111,0.0010741918,0.0007144084,0.00070619892,6.8118688e-05,1.9222376e-05,0.0104471512839999,3.7939554e-07,4.0426791e-08,6.899141e-09,1.3341413e-08,1.4339341e-09,4.0999127e-10,4.4190681037e-07,6.4765516e-08,2.0706698e-09,7.8095988e-10,1.4818494e-09,3.7951591e-10,1.0814384e-10,6.958665482999999e-08,2.7404289e-09,1.8704641e-10,6.4590492e-11,8.1167394e-11,2.4142758e-11,6.823398e-12,3.1041993519999998e-09,0.056609829,0.0017790207,0.00082463665,0.00075391684,0.00014222058,4.0490366e-05,0.060150114136,0.00053511369,3.6896835e-05,6.5377476e-05,1.5645112e-05,8.1106689e-06,2.2997207e-06,0.0006634435026,0.018305506,0.00038931568,0.000178192,0.00021203289,3.1227072e-05,8.8895404e-06,0.0191251631824,0.24683021,0.0039914186,0.001690741,0.0022991368,0.00024555188,6.928173e-05,0.2551263400099999,55.819048,1.09907917,0.4869901799999999,0.97201334,0.096055436,0.025427296,58.49861342199999,297.01572,3.7381549,1.0538655,1.5405031,0.14329515,0.041106795,303.532645445,1.6035814,0.21773999,0.20835398,0.0095125737,0.019722873,0.0030656073,2.061976424,10.235254,10.666948,4.9083197,2.8255506,3.2122466,0.92525579,32.77357469,1.03832e-05,1.3656428e-06,9.1564395e-07,9.4630538e-07,9.1196772e-07,2.6338579e-07,1.478614564e-05,2.24,2.84,2.05,1.18,2.87,5,503,50303,milk and milk products,cheese and similar,semihard cheeses,12761,"asiago cheese, from cow's milk",1480.0,356.0,32.1,0.0,25.6,0.0,0.0,0.0,90.0,1.9,770.0,760.0,2.2,0.19,,97.0,0.7,cow,asiago,34.455663338596494,13.746509493333335,0.6153474671733538,0.07586475622685185,4.5518853736111105
12105,12105,lait et produits laitiers,fromages,beaufort,"beaufort cheese, from cow's milk",2.24,beaufort (12105),0.47680353,0.042069697,0.021566061,0.016456344,0.0089059516,0.002442269,0.5682438525999999,5.1820907,0.39280843,0.26233269,0.21100323,0.035969873,0.0066736979,6.0908786209,1.0872825e-07,6.573609e-08,6.2748189e-09,5.1072373e-08,2.5544527e-09,7.1115194e-10,2.3507713654000002e-07,0.18156684,0.25814667,0.02634091,0.013449375,0.14616274,0.04227436,0.667940895,0.0082154469,0.0010170105,0.0007144084,0.00070619892,6.8118688e-05,1.9222376e-05,0.0107404057839999,3.963e-07,3.8274794e-08,6.899141e-09,1.3341413e-08,1.4339341e-09,4.0999127e-10,4.5665927337e-07,6.7651228e-08,1.960444e-09,7.8095988e-10,1.4818494e-09,3.7951591e-10,1.0814384e-10,7.236214102999998e-08,2.8625323e-09,1.7708957e-10,6.4590492e-11,8.1167394e-11,2.4142758e-11,6.823398e-12,3.216345912e-09,0.059132154,0.00168432,0.00082463665,0.00075391684,0.00014222058,4.0490366e-05,0.062577738436,0.00055895639,3.4932745e-05,6.5377476e-05,1.5645112e-05,8.1106689e-06,2.2997207e-06,0.0006853221125999,0.019121131,0.00036859165,0.000178192,0.00021203289,3.1227072e-05,8.8895404e-06,0.0199200641524,0.25782805,0.0037789477,0.001690741,0.0022991368,0.00024555188,6.928173e-05,0.2659117091099999,58.306139,1.04057305,0.4869901799999999,0.97201334,0.096055436,0.025427296,60.927198302,310.24965,3.5391657,1.0538655,1.5405031,0.14329515,0.041106795,316.567586245,1.6750311,0.20614926,0.20835398,0.0095125737,0.019722873,0.0030656073,2.121835394,10.691299,10.099125,4.9083197,2.8255506,3.2122466,0.92525579,32.66179669,1.0845837e-05,1.292947e-06,9.1564395e-07,9.4630538e-07,9.1196772e-07,2.6338579e-07,1.517608684e-05,2.24,2.84,2.05,1.18,2.87,5,503,50303,milk and milk products,cheese and similar,semihard cheeses,12105,"beaufort cheese, from cow's milk",1700.0,410.0,26.5,0.0,34.0,0.0,0.0,0.0,,1.27,745.0,506.0,4.75,,,118.0,0.24,cow,beaufort,35.619173221637425,14.145569293333335,0.6132487547247943,0.07560601085648148,4.536360651388889
12526,12526,lait et produits laitiers,fromages,bleu de gex ou fromage bleu du haut-jura ou bleu de septmoncel (aoc),"gex blue cheese, or jura blue cheese or septmoncel blue cheese, from cow's milk",2.24,bleu de gex ou fromage bleu du haut-jura ou bleu de septmoncel (aoc) (12526),0.43606969,0.025418779,0.021566061,0.016456344,0.0089059516,0.002442269,0.5108590946,4.7393791,0.24323362,0.26233269,0.21100323,0.035969873,0.0066736979,5.4985922109,9.9439476e-08,4.5275553e-08,6.2748189e-09,5.1072373e-08,2.5544527e-09,7.1115194e-10,2.0532782554000002e-07,0.16605539,0.1703082,0.02634091,0.013449375,0.14616274,0.04227436,0.564590975,0.0075135924,0.00055449503,0.0007144084,0.00070619892,6.8118688e-05,1.9222376e-05,0.0095760358139999,3.6244366e-07,1.0946278e-08,6.899141e-09,1.3341413e-08,1.4339341e-09,4.0999127e-10,3.9547441737e-07,6.187171e-08,1.7722249e-09,7.8095988e-10,1.4818494e-09,3.7951591e-10,1.0814384e-10,6.639440393e-08,2.617983e-09,1.0139435e-10,6.4590492e-11,8.1167394e-11,2.4142758e-11,6.823398e-12,2.8961013919999996e-09,0.05408043,0.0011264191,0.00082463665,0.00075391684,0.00014222058,4.0490366e-05,0.0569681135359999,0.00051120414,2.4631124e-05,6.5377476e-05,1.5645112e-05,8.1106689e-06,2.2997207e-06,0.0006272682416,0.017487592,0.00019598769,0.000178192,0.00021203289,3.1227072e-05,8.8895404e-06,0.0181139211924,0.23580152,0.0021123186,0.001690741,0.0022991368,0.00024555188,6.928173e-05,0.2422185500099999,53.324982,0.84526254,0.4869901799999999,0.97201334,0.096055436,0.025427296,55.75073079199999,283.74468,0.75185292,1.0538655,1.5405031,0.14329515,0.041106795,287.275303465,1.5319314,0.23644019,0.20835398,0.0095125737,0.019722873,0.0030656073,2.009026624,9.7779299,6.2863333,4.9083197,2.8255506,3.2122466,0.92525579,27.93563589,9.9192656e-06,1.0957374e-06,9.1564395e-07,9.4630538e-07,9.1196772e-07,2.6338579e-07,1.405230584e-05,2.24,2.84,2.05,1.18,2.87,5,503,50302,milk and milk products,cheese and similar,blue cheeses,12526,"gex blue cheese, or jura blue cheese or septmoncel blue cheese, from cow's milk",1510.0,364.0,22.5,0.0,30.7,0.0,0.0,0.0,,1.44,600.0,575.0,,,,,,cow,gex blue or jura blue or septmoncel blue,32.15551000526315,13.393510826666668,0.5245116820910494,0.06466582381944444,3.8799494291666665
12021,12021,lait et produits laitiers,fromages,brie de meaux,"brie de meaux cheese, from cow's milk",2.24,brie de meaux (12021),0.3925002,0.02822232,0.021566061,0.016456344,0.0089059516,0.002442269,0.4700931456000001,4.2658486,0.27006086,0.26233269,0.21100323,0.035969873,0.0066736979,5.0518889509000005,8.9504075e-08,5.0269181e-08,6.2748189e-09,5.1072373e-08,2.5544527e-09,7.1115194e-10,2.0038605254e-07,0.14946412,0.18909219,0.02634091,0.013449375,0.14616274,0.04227436,0.5667836949999999,0.006762879,0.00061565257,0.0007144084,0.00070619892,6.8118688e-05,1.9222376e-05,0.008886479954,3.2623045e-07,1.2153588e-08,6.899141e-09,1.3341413e-08,1.4339341e-09,4.0999127e-10,3.6046851737e-07,5.5689857e-08,1.9676909e-09,7.8095988e-10,1.4818494e-09,3.7951591e-10,1.0814384e-10,6.040801693e-08,2.3564098e-09,1.1257755e-10,6.4590492e-11,8.1167394e-11,2.4142758e-11,6.823398e-12,2.645711392e-09,0.048677036,0.0012506566,0.00082463665,0.00075391684,0.00014222058,4.0490366e-05,0.0516889570359999,0.00046012766,2.7347792e-05,6.5377476e-05,1.5645112e-05,8.1106689e-06,2.2997207e-06,0.0005789084296,0.015740336,0.00021760397,0.000178192,0.00021203289,3.1227072e-05,8.8895404e-06,0.0163882814724,0.21224164,0.0023452949,0.001690741,0.0022991368,0.00024555188,6.928173e-05,0.21889164631,47.997067,0.93849003,0.4869901799999999,0.97201334,0.096055436,0.025427296,50.51604328199999,255.3946,0.83477788,1.0538655,1.5405031,0.14329515,0.041106795,259.008148425,1.3788699,0.26251816,0.20835398,0.0095125737,0.019722873,0.0030656073,1.882043094,8.8009774,6.9796789,4.9083197,2.8255506,3.2122466,0.92525579,27.65202899,8.9281917e-06,1.2165908e-06,9.1564395e-07,9.4630538e-07,9.1196772e-07,2.6338579e-07,1.318208534e-05,2.24,2.84,2.05,1.18,2.87,5,503,50301,milk and milk products,cheese and similar,soft cheeses,12021,"brie de meaux cheese, from cow's milk",1130.0,271.0,21.4,0.0,20.7,0.2,0.0,0.0,83.6,2.02,310.0,806.0,2.3,0.25,15.0,120.0,0.15,cow,brie de meaux,29.54321023918129,12.54695396,0.5191867582998971,0.06400932636574075,3.840559581944445
12022,12022,lait et produits laitiers,fromages,brie de melun,"brie de melun cheese, from cow's milk",2.24,brie de melun (12022),0.39768055,0.0278952409999999,0.021566061,0.016456344,0.0089059516,0.002442269,0.4749464166000001,4.3221506,0.26693101,0.26233269,0.21100323,0.035969873,0.0066736979,5.1050611009,9.0685379e-08,4.9686591e-08,6.2748189e-09,5.1072373e-08,2.5544527e-09,7.1115194e-10,2.0098476654000002e-07,0.1514368,0.18690072,0.02634091,0.013449375,0.14616274,0.04227436,0.5665649049999999,0.0068521376,0.00060851752,0.0007144084,0.00070619892,6.8118688e-05,1.9222376e-05,0.0089686035039999,3.3053615e-07,1.2012736e-08,6.899141e-09,1.3341413e-08,1.4339341e-09,4.0999127e-10,3.6463336537e-07,5.642487e-08,1.9448865e-09,7.8095988e-10,1.4818494e-09,3.7951591e-10,1.0814384e-10,6.112022552999999e-08,2.3875104e-09,1.1127285e-10,6.4590492e-11,8.1167394e-11,2.4142758e-11,6.823398e-12,2.6755072919999996e-09,0.049319491,0.0012361622,0.00082463665,0.00075391684,0.00014222058,4.0490366e-05,0.052316917636,0.00046620058,2.7030847e-05,6.5377476e-05,1.5645112e-05,8.1106689e-06,2.2997207e-06,0.0005846644046,0.015948082,0.00021508207,0.000178192,0.00021203289,3.1227072e-05,8.8895404e-06,0.0165935055724,0.21504287,0.0023181143,0.001690741,0.0022991368,0.00024555188,6.928173e-05,0.22166569571,48.630549,0.92761348,0.4869901799999999,0.97201334,0.096055436,0.025427296,51.13864873199999,258.76539,0.8251033,1.0538655,1.5405031,0.14329515,0.041106795,262.36926384500003,1.3970687,0.25947573,0.20835398,0.0095125737,0.019722873,0.0030656073,1.897199464,8.9171355,6.8987886,4.9083197,2.8255506,3.2122466,0.92525579,27.68729679,9.0460288e-06,1.2024912e-06,9.1564395e-07,9.4630538e-07,9.1196772e-07,2.6338579e-07,1.328582284e-05,2.24,2.84,2.05,1.18,2.87,5,503,50301,milk and milk products,cheese and similar,soft cheeses,12022,"brie de melun cheese, from cow's milk",1200.0,288.0,22.0,0.0,22.2,0.2,0.0,0.0,88.9,1.89,180.0,755.0,0.84,0.25,17.0,210.0,0.08,cow,brie de melun,29.85415848479532,12.647996426666667,0.5198489366435185,0.06409096479166666,3.8454578875
12020,12020,lait et produits laitiers,fromages,"brie, sans précision","brie cheese, from cow's milk",2.24,"brie, sans précision (12020)",0.40795059,0.027241081,0.021566061,0.016456344,0.0089059516,0.002442269,0.4845622966,4.4337695,0.26067132,0.26233269,0.21100323,0.035969873,0.0066736979,5.210420310900001,9.3027315e-08,4.8521411e-08,6.2748189e-09,5.1072373e-08,2.5544527e-09,7.1115194e-10,2.0216152254e-07,0.15534763,0.18251779,0.02634091,0.013449375,0.14616274,0.04227436,0.5660928049999999,0.007029093,0.00059424743,0.0007144084,0.00070619892,6.8118688e-05,1.9222376e-05,0.0091312888139999,3.3907219e-07,1.173103e-08,6.899141e-09,1.3341413e-08,1.4339341e-09,4.0999127e-10,3.728876993700001e-07,5.7882034e-08,1.8992778e-09,7.8095988e-10,1.4818494e-09,3.7951591e-10,1.0814384e-10,6.253178082999999e-08,2.4491675e-09,1.0866343e-10,6.4590492e-11,8.1167394e-11,2.4142758e-11,6.823398e-12,2.734554972e-09,0.050593159,0.0012071735,0.00082463665,0.00075391684,0.00014222058,4.0490366e-05,0.0535615969359999,0.00047824013,2.6396958e-05,6.5377476e-05,1.5645112e-05,8.1106689e-06,2.2997207e-06,0.0005960700656,0.016359939,0.00021003827,0.000178192,0.00021203289,3.1227072e-05,8.8895404e-06,0.0170003187724,0.22059632,0.0022637532,0.001690741,0.0022991368,0.00024555188,6.928173e-05,0.22716478461,49.886425,0.9058604,0.4869901799999999,0.97201334,0.096055436,0.025427296,52.37277165199999,265.44796,0.80575414,1.0538655,1.5405031,0.14329515,0.041106795,269.032484685,1.4331478,0.25339087,0.20835398,0.0095125737,0.019722873,0.0030656073,1.927193704,9.1474192,6.737008,4.9083197,2.8255506,3.2122466,0.92525579,27.75579989,9.2796411e-06,1.1742921e-06,9.1564395e-07,9.4630538e-07,9.1196772e-07,2.6338579e-07,1.349123604e-05,2.24,2.84,2.05,1.18,2.87,5,503,50301,milk and milk products,cheese and similar,soft cheeses,12020,"brie cheese, from cow's milk",1230.0,297.0,17.3,0.0,25.5,0.0,0.0,0.0,95.8,1.51,424.0,599.0,2.38,0.39,20.0,145.0,0.36,cow,brie,30.470294215789476,12.847958026666667,0.5211351316795267,0.0642495367824074,3.854972206944444
12006,12006,lait et produits laitiers,fromages,camembert au lait cru,"camembert cheese, from cow's milk, from raw milk",2.24,camembert au lait cru (12006),0.40477067,0.027427984,0.021566061,0.016456344,0.0089059516,0.002442269,0.4815692796,4.3992089,0.26245981,0.26233269,0.21100323,0.035969873,0.0066736979,5.1776482009,9.2302181e-08,4.885432e-08,6.2748189e-09,5.1072373e-08,2.5544527e-09,7.1115194e-10,2.0176929754e-07,0.15413672,0.18377006,0.02634091,0.013449375,0.14616274,0.04227436,0.566134165,0.0069743023,0.0005983246,0.0007144084,0.00070619892,6.8118688e-05,1.9222376e-05,0.009080575284,3.3642917e-07,1.1811517e-08,6.899141e-09,1.3341413e-08,1.4339341e-09,4.0999127e-10,3.7032516637e-07,5.7430852e-08,1.9123089e-09,7.8095988e-10,1.4818494e-09,3.7951591e-10,1.0814384e-10,6.209362993e-08,2.4300766e-09,1.0940898e-10,6.4590492e-11,8.1167394e-11,2.4142758e-11,6.823398e-12,2.716209622e-09,0.050198793,0.001215456,0.00082463665,0.00075391684,0.00014222058,4.0490366e-05,0.0531755134359999,0.00047451232,2.6578069e-05,6.5377476e-05,1.5645112e-05,8.1106689e-06,2.2997207e-06,0.0005925233666,0.016232416,0.00021147936,0.000178192,0.00021203289,3.1227072e-05,8.8895404e-06,0.0168742368624,0.2188768,0.0022792849,0.001690741,0.0022991368,0.00024555188,6.928173e-05,0.22546079631,49.497567,0.91207557,0.4869901799999999,0.97201334,0.096055436,0.025427296,51.990128822,263.37883,0.81128247,1.0538655,1.5405031,0.14329515,0.041106795,266.968883015,1.4219766,0.2551294,0.20835398,0.0095125737,0.019722873,0.0030656073,1.917761034,9.0761164,6.783231,4.9083197,2.8255506,3.2122466,0.92525579,27.73072009,9.2073077e-06,1.182349e-06,9.1564395e-07,9.4630538e-07,9.1196772e-07,2.6338579e-07,1.342695954e-05,2.24,2.85,2.05,1.17,2.88,5,503,50301,milk and milk products,cheese and similar,soft cheeses,12006,"camembert cheese, from cow's milk, from raw milk",1110.0,267.0,20.7,0.0,20.3,0.2,0.0,0.0,64.6,1.45,380.0,580.0,2.8,0.25,18.0,160.0,0.09,cow,camembert from raw milk,30.278644449707603,12.78507356,0.5206642403729425,0.06419148168981481,3.8514889013888887
12001,12001,lait et produits laitiers,fromages,"camembert, sans précision","camembert cheese, from cow's milk",1.81,"camembert, sans précision (12001)",0.40477067,0.027427984,0.021566061,0.016456344,0.0089059516,0.002442269,0.4815692796,4.3992089,0.26245981,0.26233269,0.21100323,0.035969873,0.0066736979,5.1776482009,9.2302181e-08,4.885432e-08,6.2748189e-09,5.1072373e-08,2.5544527e-09,7.1115194e-10,2.0176929754e-07,0.15413672,0.18377006,0.02634091,0.013449375,0.14616274,0.04227436,0.566134165,0.0069743023,0.0005983246,0.0007144084,0.00070619892,6.8118688e-05,1.9222376e-05,0.009080575284,3.3642917e-07,1.1811517e-08,6.899141e-09,1.3341413e-08,1.4339341e-09,4.0999127e-10,3.7032516637e-07,5.7430852e-08,1.9123089e-09,7.8095988e-10,1.4818494e-09,3.7951591e-10,1.0814384e-10,6.209362993e-08,2.4300766e-09,1.0940898e-10,6.4590492e-11,8.1167394e-11,2.4142758e-11,6.823398e-12,2.716209622e-09,0.050198793,0.001215456,0.00082463665,0.00075391684,0.00014222058,4.0490366e-05,0.0531755134359999,0.00047451232,2.6578069e-05,6.5377476e-05,1.5645112e-05,8.1106689e-06,2.2997207e-06,0.0005925233666,0.016232416,0.00021147936,0.000178192,0.00021203289,3.1227072e-05,8.8895404e-06,0.0168742368624,0.2188768,0.0022792849,0.001690741,0.0022991368,0.00024555188,6.928173e-05,0.22546079631,49.497567,0.91207557,0.4869901799999999,0.97201334,0.096055436,0.025427296,51.990128822,263.37883,0.81128247,1.0538655,1.5405031,0.14329515,0.041106795,266.968883015,1.4219766,0.2551294,0.20835398,0.0095125737,0.019722873,0.0030656073,1.917761034,9.0761164,6.783231,4.9083197,2.8255506,3.2122466,0.92525579,27.73072009,9.2073077e-06,1.182349e-06,9.1564395e-07,9.4630538e-07,9.1196772e-07,2.6338579e-07,1.342695954e-05,1.81,1.99,2.05,1.17,2.02,5,503,50301,milk and milk products,cheese and similar,soft cheeses,12001,"camembert cheese, from cow's milk",1160.0,280.0,19.5,0.0,22.5,0.0,0.0,0.0,74.0,1.45,449.0,579.0,2.5,0.24,19.3,148.0,0.18,cow,camembert,30.278644449707603,12.78507356,0.5206642403729425,0.06419148168981481,3.8514889013888887
12722,12722,lait et produits laitiers,fromages,cantal entre-deux,"cantal cheese, half matured, from cow's milk",2.24,cantal entre-deux (12722),0.45144164,0.04511088,0.021566061,0.016456344,0.0089059516,0.002442269,0.5459231456,4.9064476,0.42120422,0.26233269,0.21100323,0.035969873,0.0066736979,5.8436313109,1.0294483e-07,7.0488096e-08,6.2748189e-09,5.1072373e-08,2.5544527e-09,7.1115194e-10,2.3404572254000002e-07,0.17190903,0.27680788,0.02634091,0.013449375,0.14616274,0.04227436,0.676944295,0.0077784551,0.0010905294,0.0007144084,0.00070619892,6.8118688e-05,1.9222376e-05,0.0103769328839999,3.7522022e-07,4.1041647e-08,6.899141e-09,1.3341413e-08,1.4339341e-09,4.0999127e-10,4.3834634637e-07,6.4052759e-08,2.1021629e-09,7.8095988e-10,1.4818494e-09,3.7951591e-10,1.0814384e-10,6.890539093e-08,2.7102699e-09,1.8989122e-10,6.4590492e-11,8.1167394e-11,2.4142758e-11,6.823398e-12,3.076885162e-09,0.055986827,0.0018060781,0.00082463665,0.00075391684,0.00014222058,4.0490366e-05,0.059554169536,0.00052922466,3.7458004e-05,6.5377476e-05,1.5645112e-05,8.1106689e-06,2.2997207e-06,0.0006581156415999,0.01810405,0.00039523683,0.000178192,0.00021203289,3.1227072e-05,8.8895404e-06,0.0189296283324,0.24411379,0.0040521246,0.001690741,0.0022991368,0.00024555188,6.928173e-05,0.25247062601,55.204748,1.11579521,0.4869901799999999,0.97201334,0.096055436,0.025427296,57.901029462,293.74701,3.795009,1.0538655,1.5405031,0.14329515,0.041106795,300.320789545,1.5859337,0.22105162,0.20835398,0.0095125737,0.019722873,0.0030656073,2.047640354,10.122613,10.829182,4.9083197,2.8255506,3.2122466,0.92525579,32.82316769,1.0268931e-05,1.3864131e-06,9.1564395e-07,9.4630538e-07,9.1196772e-07,2.6338579e-07,1.469264694e-05,2.24,2.84,2.05,1.18,2.87,5,503,50303,milk and milk products,cheese and similar,semihard cheeses,12722,"cantal cheese, half matured, from cow's milk",1590.0,383.0,26.6,0.0,30.5,0.0,0.0,0.0,99.1,1.85,791.0,741.0,,,,,,cow,cantal half matured,34.17328251988304,13.650935693333333,0.6162786114634774,0.07597955483796295,4.558773290277777
