name_lci,animal,agri,processing,packing,transport,distri,consumption,total
"abondance cheese, from cow's milk",cow,5.0527045,0.40542878,0.26233269,0.21100323,0.035969873,0.0066736979,5.974112770900001
"asiago cheese, from cow's milk",cow,4.9610449,0.41489404,0.26233269,0.21100323,0.035969873,0.0066736979,5.891918430900001
"auvergne blue cheese, from cow's milk",cow,4.6547821,0.24770483,0.26233269,0.21100323,0.035969873,0.0066736979,5.418466420900001
"beaufort cheese, from cow's milk",cow,5.1820907,0.39280843,0.26233269,0.21100323,0.035969873,0.0066736979,6.0908786209
"blue cheese, from cow's milk",cow,4.5258166,0.25530588,0.26233269,0.21100323,0.035969873,0.0066736979,5.2971019709
"bresse blue cheese, from cow's milk",cow,4.5258166,0.25530588,0.26233269,0.21100323,0.035969873,0.0066736979,5.2971019709
"bresse blue cheese, from cow's milk, reduced fat, around 15% fat",cow,4.2464318,0.2709551,0.26233269,0.21100323,0.035969873,0.0066736979,5.0333663909
"brie cheese, from cow's milk",cow,4.4337695,0.26067132,0.26233269,0.21100323,0.035969873,0.0066736979,5.210420310900001
"brie de meaux cheese, from cow's milk",cow,4.2658486,0.27006086,0.26233269,0.21100323,0.035969873,0.0066736979,5.0518889509000005
"brie de melun cheese, from cow's milk",cow,4.3221506,0.26693101,0.26233269,0.21100323,0.035969873,0.0066736979,5.1050611009
"camembert cheese, from cow's milk",cow,4.3992089,0.26245981,0.26233269,0.21100323,0.035969873,0.0066736979,5.1776482009
"camembert cheese, from cow's milk, from raw milk",cow,4.3992089,0.26245981,0.26233269,0.21100323,0.035969873,0.0066736979,5.1776482009
"cantal cheese, half matured, from cow's milk",cow,4.9064476,0.42120422,0.26233269,0.21100323,0.035969873,0.0066736979,5.8436313109
"cantal, salers or laguiole cheese, from cow's milk",cow,4.988587,0.4133165,0.26233269,0.21100323,0.035969873,0.0066736979,5.9178829909
"carré de l'est cheese, from cow's milk",cow,4.2070668,0.2731907,0.26233269,0.21100323,0.035969873,0.0066736979,4.9962369909
"causses blue cheese, from cow's milk",cow,4.6746417,0.24681058,0.26233269,0.21100323,0.035969873,0.0066736979,5.4374317709
"chabichou cheese, from goat's milk",goat,6.0103604,0.29382052,0.26233269,0.21100323,0.035969873,0.0066736979,6.8201604109
"chaource cheese, from cow's milk",cow,4.1112338,0.29286401,0.26233269,0.21100323,0.035969873,0.0066736979,4.9200773009
"cheddar cheese, from cow's milk",cow,5.2832706,0.38413194,0.26233269,0.21100323,0.035969873,0.0066736979,6.1833820309
"cheese, buche, from goat's milk",goat,4.8376071,0.29382052,0.26233269,0.21100323,0.035969873,0.0066736979,5.6474071109
"cheese, buche, from goat's milk, light",goat,5.3506867,0.29382052,0.26233269,0.21100323,0.035969873,0.0066736979,6.1604867109
"cheese, dry, from goat's milk",goat,4.8918269,0.29815878,0.26233269,0.21100323,0.035969873,0.0066736979,5.7059651709
